District_code,State_name,District_name,Type_of_bathing_facility_Enclosure_without_roof,Not_having_bathing_facility_within_the_premises,Not_having_latrine_facility_within_the_premises,Main_source_of_drinking_water_Un_covered_well
517,MAHARASHTRA,Thane,172861,222808,346756,168043
518,MAHARASHTRA,Mumbai_Suburban,150699,109009,48898,3572
519,MAHARASHTRA,Mumbai,36613,27097,9340,273
520,MAHARASHTRA,Raigarh,46062,49300,108443,61663
521,MAHARASHTRA,Pune,278309,161305,284449,168164
522,MAHARASHTRA,Ahmadnagar,223521,216378,439033,243307
523,MAHARASHTRA,Bid,208442,170710,399231,104531
524,MAHARASHTRA,Latur,150679,93377,290582,47969
525,MAHARASHTRA,Osmanabad,121016,76948,240274,29560
526,MAHARASHTRA,Solapur,261294,160291,414793,140885
527,MAHARASHTRA,Satara,120000,64195,84568,57989
528,MAHARASHTRA,Ratnagiri,44684,45360,54952,76316
529,MAHARASHTRA,Sindhudurg,19684,23776,28945,97574
530,MAHARASHTRA,Kolhapur,79393,49814,59170,33730
531,MAHARASHTRA,Sangli,93433,67917,136062,74738
532,ANDHRA_PRADESH,Adilabad,180245,273511,446014,93294
533,ANDHRA_PRADESH,Nizamabad,174190,161943,338471,8125
534,ANDHRA_PRADESH,Karimnagar,271709,305456,518458,133499
535,ANDHRA_PRADESH,Medak,120589,244908,363300,9627
536,ANDHRA_PRADESH,Hyderabad,9546,8413,7927,913
537,ANDHRA_PRADESH,Rangareddy,72105,161788,224362,9025
538,ANDHRA_PRADESH,Mahbubnagar,228218,365719,621148,5990
539,ANDHRA_PRADESH,Nalgonda,185613,395608,512068,28731
540,ANDHRA_PRADESH,Warangal,189942,383656,491661,67830
541,ANDHRA_PRADESH,Khammam,105732,343847,379678,46922
542,ANDHRA_PRADESH,Srikakulam,28345,511234,533734,199161
543,ANDHRA_PRADESH,Vizianagaram,60019,354119,456712,73701
544,ANDHRA_PRADESH,Visakhapatnam,75065,446815,504832,81562
545,ANDHRA_PRADESH,East_Godavari,132607,537946,510602,121195
546,ANDHRA_PRADESH,West_Godavari,97912,355613,307863,20184
547,ANDHRA_PRADESH,Krishna,128403,330056,351479,87080
548,ANDHRA_PRADESH,Guntur,180459,383630,513287,67710
549,ANDHRA_PRADESH,Prakasam,185711,328758,526726,91097
550,ANDHRA_PRADESH,Sri_Potti_Sriramulu_Nellore,182478,253307,459859,51084
551,ANDHRA_PRADESH,Y.S.R.,209047,116255,370070,4347
552,ANDHRA_PRADESH,Kurnool,187708,175062,437495,17204
553,ANDHRA_PRADESH,Anantapur,222718,205194,581051,5049
554,ANDHRA_PRADESH,Chittoor,246488,267468,628364,8192
555,KARNATAKA,Belgaum,151774,183851,572611,124332
556,KARNATAKA,Bagalkot,76199,82421,252946,12682
557,KARNATAKA,Bijapur,94928,107912,297368,50159
558,KARNATAKA,Bidar,75361,98920,231111,42806
559,KARNATAKA,Raichur,97821,72708,254438,16224
560,KARNATAKA,Koppal,53737,40647,175587,5231
561,KARNATAKA,Gadag,33943,24061,148545,4690
562,KARNATAKA,Dharwad,32917,23046,146939,2403
563,KARNATAKA,Uttara_Kannada,39286,28358,122723,185103
564,KARNATAKA,Haveri,45271,36961,195222,834
565,KARNATAKA,Bellary,101933,64554,271944,4739
566,KARNATAKA,Chitradurga,63560,83444,238428,1341
567,KARNATAKA,Davanagere,61319,51212,205125,3072
568,KARNATAKA,Shimoga,44567,32390,107832,79835
569,KARNATAKA,Udupi,8985,16483,30205,166257
570,KARNATAKA,Chikmagalur,19511,25669,101934,21964
571,KARNATAKA,Tumkur,67778,116450,420408,5715
572,KARNATAKA,Bangalore,43221,46397,85396,6734
573,KARNATAKA,Mandya,21176,37904,261123,5650
574,KARNATAKA,Hassan,12709,26240,249753,9610
575,KARNATAKA,Dakshina_Kannada,11274,21229,29334,172955
576,KARNATAKA,Kodagu,10463,12768,24266,38445
577,KARNATAKA,Mysore,37512,76433,300742,7698
578,KARNATAKA,Chamarajanagar,39780,68972,181966,7018
579,KARNATAKA,Gulbarga,89312,124994,321027,46557
580,KARNATAKA,Yadgir,48703,60931,163506,22321
581,KARNATAKA,Kolar,53781,88952,175030,3002
582,KARNATAKA,Chikkaballapura,38358,92454,172302,2553
583,KARNATAKA,Bangalore_Rural,10872,23589,42177,775
584,KARNATAKA,Ramanagara,26423,37712,146310,980
585,GOA,North_Goa,14272,19109,33528,15156
586,GOA,South_Goa,12221,14593,19475,7809
587,LAKSHADWEEP,Lakshadweep,117,309,195,6942
588,KERALA,Kasaragod,6820,30801,18973,157785
589,KERALA,Kannur,9532,46193,9535,397151
590,KERALA,Wayanad,9342,38879,12336,109208
591,KERALA,Kozhikode,22819,70154,10094,396233
592,KERALA,Malappuram,23144,82426,14558,508118
593,KERALA,Palakkad,26211,116410,59099,257588
594,KERALA,Thrissur,22832,31644,10988,328453
595,KERALA,Ernakulam,24328,52123,10315,218410
596,KERALA,Idukki,10810,73160,25907,90049
597,KERALA,Kottayam,15549,63468,12340,177265
598,KERALA,Alappuzha,53710,82637,28364,179060
599,KERALA,Pathanamthitta,11868,63412,15335,138814
600,KERALA,Kollam,51525,130571,26860,331377
601,KERALA,Thiruvananthapuram,63056,215578,35020,367952
602,TAMIL_NADU,Thiruvallur,133464,151979,280985,53570
603,TAMIL_NADU,Chennai,15930,33168,6553,3500
604,TAMIL_NADU,Kancheepuram,132855,188733,323242,39231
605,TAMIL_NADU,Vellore,240563,234127,523845,26842
606,TAMIL_NADU,Tiruvannamalai,102902,331254,449825,32837
607,TAMIL_NADU,Viluppuram,125683,496584,621276,35352
608,TAMIL_NADU,Salem,176899,345077,495095,79818
609,TAMIL_NADU,Namakkal,98709,147132,209494,35099
610,TAMIL_NADU,Erode,157871,155167,275878,35671
611,TAMIL_NADU,The_Nilgiris,26836,45399,72931,15347
612,TAMIL_NADU,Dindigul,110764,206469,330624,21095
613,TAMIL_NADU,Karur,43109,119700,153234,7098
614,TAMIL_NADU,Tiruchirappalli,59769,302285,302377,12369
615,TAMIL_NADU,Perambalur,16674,92948,109778,7474
616,TAMIL_NADU,Ariyalur,10906,157985,158588,7201
617,TAMIL_NADU,Cuddalore,85176,344306,394057,8151
618,TAMIL_NADU,Nagapattinam,35519,256993,238621,5211
619,TAMIL_NADU,Thiruvarur,27218,211331,186342,860
620,TAMIL_NADU,Thanjavur,59898,329940,307799,1831
621,TAMIL_NADU,Pudukkottai,24329,278454,272449,10324
622,TAMIL_NADU,Sivaganga,25876,192110,190284,18405
623,TAMIL_NADU,Madurai,66623,246100,283179,3207
624,TAMIL_NADU,Theni,61723,65582,136873,996
625,TAMIL_NADU,Virudhunagar,64628,222337,283237,4158
626,TAMIL_NADU,Ramanathapuram,29619,198377,197472,48007
627,TAMIL_NADU,Thoothukkudi,57791,175081,213983,7483
628,TAMIL_NADU,Tirunelveli,100348,348544,353711,3638
629,TAMIL_NADU,Kanniyakumari,47817,188599,34878,65425
630,TAMIL_NADU,Dharmapuri,89072,199830,301065,59989
631,TAMIL_NADU,Krishnagiri,92796,158469,289169,21597
632,TAMIL_NADU,Coimbatore,156267,93422,209677,14470
633,TAMIL_NADU,Tiruppur,154165,107839,248181,23777
634,PONDICHERRY,Yanam,1080,1409,2229,1
635,PONDICHERRY,PONDICHERRY,32742,33121,61399,30
636,PONDICHERRY,Mahe,48,92,46,5224
637,PONDICHERRY,Karaikal,6674,15160,18107,81
638,ANDAMAN_AND_NICOBAR_ISLANDS,Nicobars,775,1497,1823,449
639,ANDAMAN_AND_NICOBAR_ISLANDS,North__AND_Middle_Andaman,4689,12246,13375,2111
640,ANDAMAN_AND_NICOBAR_ISLANDS,South_Andaman,6349,8486,10443,3634
